ori,ori,trip,f_size,cluster,mrt_km_o,cycle_km_o,smooth_entro_o,ori_far_pc1,ori_far_pc2
1158,1158,150,20.77272727,1,1.08,0.27,0.654207152,-1.6332115615879326,-0.13046824940225166
1159,1159,86,13.0,1,0.94,0.74,0.669366303,-1.4293150967888348,0.09745128010626657
1160,1160,31,5.6363636360000005,0,1.33,0.0,0.35620718700000004,-0.7694711422565957,-0.06801165322797627
1161,1161,8,1.954545455,0,2.57,0.0,0.17810359350000002,-0.23034277876514975,-0.02902757684221396
1164,1164,35,8.227272727,0,2.25,0.0,0.5325008379999999,0.0651969866307991,0.023432866432509226
1327,1327,8,0.545454545,0,2.63,0.0,0.327103576,0.21260715149589296,-0.1295641843986906
1328,1328,78,11.13636364,1,2.64,0.0,0.542121726,0.08895078078576664,-0.03494693508647579
1329,1329,93,20.77272727,1,2.18,0.0,0.34585958,0.2639337727360558,0.6055500580509164
1330,1330,64,10.40909091,1,1.63,0.0,0.590499874,0.1920407526761348,0.3949692000507172
1331,1331,29,4.772727273,0,1.82,0.0,0.288983099,0.08165576286607595,0.07164204193201036
1333,1333,56,7.772727272999999,0,1.84,0.0,0.240732674,0.07118260250601441,0.04096525171291463
1334,1334,50,7.590909091,0,2.21,0.0,0.272215138,0.4004206652371572,1.0053319409751216
1337,1337,168,34.09090909,1,1.56,0.2,0.327103576,-1.8229947880732549,-0.1441913704603363
1338,1338,257,37.36363636,2,0.65,0.8,0.257155976,-2.054938329940472,-0.16096308080920074
1339,1339,410,66.77272727,2,0.71,0.87,0.728743496,-2.292072852120519,-0.1781101480985197
1340,1340,323,46.04545455,2,0.94,0.62,0.327103576,-1.636900137974962,-0.1307349683385276
1341,1341,73,12.18181818,1,1.34,0.2,0.35620718700000004,-1.83959324590466,-0.1453915958459844
1342,1342,61,11.72727273,1,1.52,0.0,0.654210241,0.20942530636801648,-0.1271295550139833
1343,1343,5,0.454545455,0,1.83,0.0,0.271060863,0.08959819633922267,-0.035442313355126015
1500,1500,14,0.636363636,0,2.4,0.0,0.0,0.6951053572069762,1.8684888263418464
1501,1501,42,11.59090909,0,2.66,0.0,0.0,-0.23424758985170555,0.2721970006105898
1502,1502,21,3.5909090910000003,0,2.42,0.0,0.57250927,-0.14073837550356794,-0.022548331568179102
1506,1506,2,0.454545455,0,1.77,0.0,0.684604601,0.07234948510589154,0.04438315151546608
1510,1510,70,7.0,1,1.58,0.0,0.6048205795,-0.3212544585937266,-0.035601350568091134
1511,1511,103,15.36363636,1,1.29,0.0,0.5343107810000001,-0.7967886693050806,-0.0699869686319583
1512,1512,136,26.0,1,1.27,0.0,0.327103576,-0.8077597714931394,-0.07078028301624605
1514,1514,71,17.04545455,1,2.39,0.0,0.2805991185,0.14910278017003012,0.2692001743012317
1517,1517,208,29.0,2,0.77,0.32,0.5343107810000001,-1.0675935002425203,-0.08956871748770377
1518,1518,208,29.86363636,2,0.7,0.02,0.327103576,-1.8154448128996168,-0.14364543589482096
1519,1519,899,108.2272727,3,0.52,0.52,0.634222088,-0.3053448579894648,1.156714047505824
1520,1520,196,24.72727273,2,0.73,0.5,0.163551788,-0.4061767963431608,-0.04174203825189533
1521,1521,72,6.090909091,1,1.4,0.12,0.17810359350000002,0.3518087743044518,0.8629435186625085
1526,1526,0,0.0,0,2.6,0.0,0.163551788,0.055713781061517684,-0.0043442608005255295
1657,1657,0,0.0,0,9.79,0.0,0.0,0.06145792009056718,0.012480817965138979
1659,1659,0,0.0,0,9.95,0.0,0.0,0.0546794044500636,-0.007374039131631907
1665,1665,0,0.0,0,5.88,0.0,0.0,0.06967759868416802,0.03655696568133828
1666,1666,0,0.0,0,5.74,0.0,0.0,0.05555906532878679,-0.004797436529093511
1679,1679,0,0.0,0,2.19,0.0,0.0,0.12295429306307153,0.1926089997226554
1680,1680,28,7.045454545,0,2.13,0.0,0.41530243549999996,2.8695380277554907,8.23758970770874
1681,1681,93,14.09090909,1,2.41,0.0,0.2136281885,-0.014298746451522956,0.17246898094187574
1682,1682,48,8.909090909,0,2.21,0.0,0.727309005,-0.8720516999257775,-0.07542919711301968
1683,1683,33,11.22727273,0,1.91,0.0,0.77159442,-0.06409816550411956,-0.017006520001281743
1685,1685,6,1.136363636,0,1.36,0.0,0.163551788,0.054597475361080686,-0.00761401650132393
1686,1686,56,10.31818182,0,1.7,0.0,0.564575034,1.1439308704990936,3.1831374751628148
1687,1687,76,18.22727273,1,1.24,0.0,0.5343107810000001,0.09618727340009134,0.1142060899263972
1688,1688,132,31.63636364,1,1.26,0.0,0.726221233,-0.5157603691046536,-0.02503699786208092
1689,1689,142,27.22727273,1,1.54,0.0,0.35620718700000004,-1.2554023379465078,-0.10314907157547312
1690,1690,49,8.863636364,0,1.52,0.0,0.619141285,-2.0467188066230357,-0.16036873158448853
1691,1691,218,40.72727273,2,1.17,0.0,0.691519738,-1.536713980826264,-0.12349056224238494
1692,1692,118,28.13636364,1,1.29,0.0,0.327103576,-1.2152196637822332,-0.10024348443689343
1693,1693,61,17.54545455,1,0.95,0.0,0.35620718700000004,0.2890710523511336,-0.4008415549095096
1694,1694,226,58.0,2,1.21,0.0,0.288983099,2.4372439695687214,-1.8328766099860911
